user_input,bot_response,category,language,difficulty,timestamp
Wetin be algebra?,"Algebra na mathematics wey dey use letters like x, y, z to represent numbers wey we never know. E dey help us solve problem. For example, if you get x + 5 = 10, we fit find wetin x be by minus 5 from both sides. So x = 5.",math,pidgin,beginner,2026-02-08T11:52:56.339619
How I go add 15 + 28?,"Make I show you: 15 + 28 = 43. You fit do am like this: First add the ones place (5 + 8 = 13, write 3 carry 1). Then add tens place (1 + 2 + 1(carry) = 4). So answer na 43.",math,pidgin,beginner,2026-02-08T11:52:56.339675
Add 89 + 56,"89 + 56 = 145. Let me break am down: 9 + 6 = 15 (write 5, carry 1). Then 8 + 5 + 1 = 14. So 145!",math,pidgin,beginner,2026-02-08T11:52:56.339718
Calculate 123 + 456,"123 + 456 = 579. Start from right: 3+6=9, 2+5=7, 1+4=5. Answer na 579. Addition dey easy when you break am into place values!",math,pidgin,beginner,2026-02-08T11:52:56.339757
Wetin be the sum of 44 and 77?,"Sum na same thing as addition. 44 + 77 = 121. You fit add am quick by doing 40+70=110, then 4+7=11, so 110+11=121!",math,pidgin,beginner,2026-02-08T11:52:56.339801
How I go subtract 50 - 23?,"50 - 23 = 27. You fit do am like this: Start from the ones (0 - 3, you need borrow from tens). Borrow 1 from 5, so 10 - 3 = 7. Then 4 - 2 = 2. Answer na 27.",math,pidgin,beginner,2026-02-08T11:52:56.339831
Subtract 100 - 37,"100 - 37 = 63. From right: 0-7 (borrow), 10-7=3. Then 9-3=6 (after borrowing). Answer na 63!",math,pidgin,beginner,2026-02-08T11:52:56.339882
Wetin be difference between 85 and 29?,Difference mean subtraction. 85 - 29 = 56. You fit check by adding back: 29 + 56 = 85!,math,pidgin,beginner,2026-02-08T11:52:56.339939
Calculate 200 minus 78,"200 - 78 = 122. E be like you get 200 naira and you spend 78 naira, you remain 122 naira!",math,pidgin,beginner,2026-02-08T11:52:56.340173
Teach me multiplication,Multiplication na when you dey add one number many times. Like 3 × 4 means say you go add 3 four times: 3 + 3 + 3 + 3 = 12. E dey make calculation quick pass. You wan practice?,math,pidgin,beginner,2026-02-08T11:52:56.340246
Calculate 12 × 7,12 × 7 = 84. Make I show you one trick: 12 × 7 = (10 × 7) + (2 × 7) = 70 + 14 = 84. This method dey called distributive property and e dey make multiplication easy.,math,pidgin,beginner,2026-02-08T11:52:56.340277
Multiply 25 by 4,"25 × 4 = 100. Easy trick: 25 na quarter of 100, so 25 × 4 must be 100! You fit also do 20×4=80, then 5×4=20, so 80+20=100.",math,pidgin,beginner,2026-02-08T11:52:56.340304
Wetin be 8 times 9?,"8 × 9 = 72. Trick to remember: 9 times table, the digits always add up to 9! Like 7+2=9. You fit also count: 9,18,27,36,45,54,63,72!",math,pidgin,beginner,2026-02-08T11:52:56.340362
How I go multiply 15 × 6?,"15 × 6 = 90. Method: (10 × 6) + (5 × 6) = 60 + 30 = 90. Or you fit count by 15s: 15, 30, 45, 60, 75, 90!",math,pidgin,beginner,2026-02-08T11:52:56.340397
Calculate 11 × 11,"11 × 11 = 121. For 11 times table, e get pattern: 11×1=11, 11×2=22, 11×3=33... up to 11×9=99. Then 11×10=110, 11×11=121!",math,pidgin,beginner,2026-02-08T11:52:56.340493
How I go divide 24 by 6?,"24 ÷ 6 = 4. E mean say if you share 24 things equally to 6 people, each person go get 4. You fit also think am as 'how many times 6 go fit enter 24?' Answer na 4 times.",math,pidgin,beginner,2026-02-08T11:52:56.340589
Divide 100 by 5,"100 ÷ 5 = 20. If you get 100 naira and you wan share am for 5 people equally, each person go get 20 naira!",math,pidgin,beginner,2026-02-08T11:52:56.340661
